# ============================================================
# 书单 2026-09-21 —— 20 本（书架在看 6 本 + 新增 14 本）
# 用途：番茄小说下载器下载 → 12-书库 批量入库
#
# 用法
#   1) 下载：把下面不带 '#' 的 book_id 逐行喂给 main.py（末尾一行 '7' 退出）
#   2) 入库：txt_to_kb.py --batch "本文件" --src "<下载目录>" --dst "12-书库"
#
# 规则
#   - '#' 开头或空行 = 注释，会被忽略
#   - 一行一个 book_id，行尾可跟书名备注（不影响解析）
#
# 注意
#   - 【一】有 1 本待确认（书架第 3 本「高武：轮椅少女在游…」书名被截断，无法反查）
#     → 已挪到【三】，确认后去掉行首 '#' 即可
#   - 【一】#4 已在 12-书库（文件夹《高武：天才就是1天赋加99药水》，
#     与本书同一 book_id，作者「肌肉海鸥」、960 章一致），不需要重复下载
#   - 未注释的 19 个 book_id 均已用番茄详情页复核（书名/作者/章节数对得上）
# ============================================================

# ---------- 【一】书架在看的 6 本（其中 1 本待确认，见【三】）----------

7519389279345200152   我在末世经营中餐厅爆火 - 冰可乐代喝（书架名：在异世界末世经营…）
7600305302205893657   战争游戏，我解锁了整个华夏文明 - 机佐（书架名：文明卡牌，我解锁华夏五千年）
6993228831532256267   神级选择：这个御兽师有亿点生猛 - 三风11（书架名：我一个史莱姆吊打巨龙很合理吧？）
7514800975710800921   崩铁：黑塔女士这么看我怎么办？ - 悠险（书架名：黑塔空间站的伪装天才）
# 7496166356807584792 高武圈传来噩耗 - 肌肉海鸥（旧名：高武：一天十针药，天赋不重要）→ 已在 12-书库，跳过

# ---------- 【二】新增 14 本：高武/都市高武赛道样本 ----------

# 头部长线（1500+ 章，学结构与爽点递进）
7276384138653862966   我不是戏神 - 三九音域
6982529841564224526   我在精神病院学斩神 - 三九音域
7338034838672247833   诸神愚戏 - 一月九十秋
7346057588347259929   序列：吃神者 - 不要大脑要小脑

# 都市高武 × 系统/刷怪流（节奏与"爽点密度"样本）
7504849932138859545   时停起手，邪神也得给我跪下！ - 六个葫芦
7462405945180572697   你们刷怪啊，刷我干嘛！ - 喜欢吃橘子
7421167583522458648   大一实习，你跑去749收容怪物 - 我爱罗的沙

# 都市异能变体（设定层可拆）
7638520026256903193   觉醒伪神，神明弃我，我自为神 - 考拉爱猪
7592279900040465433   我操作的少女正在成为旧日之主 - 陷阵营营长
7380211153592388632   天物觉醒：我能刻印一切 - 御风而行的葉子

# 完结整本（全结构可见，最适合拆解）
7081535608648109069   异兽迷城 - 彭湃（1322 章·正文完结）

# 新书样本（起步期怎么写）
7667935194233441305   纨绔大少是邪神，眷属全部是美女 - 灰烬寓言（97 章）

# 结构参考（非高武，但钩子/悬念工程值得拆）
7552067105378536473   规则怪谈：无所谓，系统会出手 - 巡山主神
7143038691944959011   十日终焉 - 杀虫队队员（巅峰榜 TOP1·已完结）

# ---------- 【三】待确认（1 本）----------
# 书架第 3 本：高武：轮椅少女在游…（88 章未读）
#   番茄站内搜索接口已失效、书架 DOM 不含 book_id，书名又截断 → 反查不到，没敢瞎填。
#   最可能的候选（书名不像但剧情/封面（轮椅+病弱少女+蛮族战场）高度吻合）：
# 7532898046552575001   高武：病弱少女竟是我自己 - 月隐夜澜（217 章）
#   → 如果书架上就是它，把上面这行行首的 '#' 去掉即可；若是另一本，给全名或分享链接，我补 id。

